Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2018,4,"30,325",31453,"Denver, CO","Houston, TX",883,"2,513.804348",196.3252951,UA,0.486833571,228.73328,WN,0.402516539,180.099001,-1,,
2018,4,"30,325",31454,"Denver, CO","Orlando, FL",1546,"1,899.782609",202.0633425,WN,0.418297288,208.1376693,F9,0.250257467,103.0311385,-1,,
2018,4,"30,325",31650,"Denver, CO","Minneapolis/St. Paul, MN",680,"2,066.521739",156.9442878,DL,0.386913528,180.0653616,F9,0.116873554,90.669982,-1,,
2018,4,"30,325",31703,"Denver, CO","New York City, NY (Metropolitan Area)",1659,"4,297.065217",242.1027977,UA,0.451850353,283.3360466,WN,0.167632105,210.2150747,-1,,
2018,4,"30,325",31714,"Denver, CO","Fort Myers, FL",1607,446.7391304,239.8706569,UA,0.529683698,269.6531465,F9,0.284184915,135.7450342,-1,,
2018,4,"30,325",31884,"Denver, CO","Spokane, WA",836,347.6086957,168.4482802,WN,0.461538462,162.2974932,WN,0.461538462,162.2974932,-1,,
2018,4,"30,325",31986,"Denver, CO","Grand Rapids, MI",1015,379.7826087,197.3271322,UA,0.410417859,223.1349372,F9,0.168860904,93.71135593,-1,,
2018,4,"30,325",32211,"Denver, CO","Las Vegas, NV",628,"2,457.934783",152.6284792,WN,0.52390218,155.7594328,F9,0.179984964,95.18540541,-1,,
2018,4,"30,325",32337,"Denver, CO","Indianapolis, IN",977,867.826087,187.4044464,WN,0.611848697,182.4415558,F9,0.105711423,107.435782,-1,,
2018,4,"30,325",32457,"Denver, CO","San Francisco, CA (Metropolitan Area)",967,"4,381.956522",187.2380191,WN,0.474252121,172.5444165,WN,0.474252121,172.5444165,-1,,
2018,4,"30,325",32467,"Denver, CO","Miami, FL (Metropolitan Area)",1709,"1,776.195652",224.6235848,AA,0.274095833,244.3092878,F9,0.123799033,110.5344043,-1,,
2018,4,"30,325",32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,"5,936.630435",178.6353626,WN,0.425288829,181.6723265,F9,0.106303898,98.53324147,-1,,
2018,4,"30,325",33044,"Denver, CO","Louisville, KY",1024,245.9782609,187.1409633,WN,0.473707468,197.1204291,F9,0.260715864,78.05271186,-1,,
2018,4,"30,325",33192,"Denver, CO","Sacramento, CA",909,872.7173913,197.9143106,WN,0.567567568,197.3533904,WN,0.567567568,197.3533904,-1,,
2018,4,"30,325",33195,"Denver, CO","Tampa, FL (Metropolitan Area)",1506,"1,192.717391",214.1954251,WN,0.442176251,223.5515458,F9,0.221088125,111.8819456,-1,,
2018,4,"30,325",33198,"Denver, CO","Kansas City, MO",533,"1,180",148.2875184,WN,0.657977155,146.3585188,WN,0.657977155,146.3585188,-1,,
2018,4,"30,325",33214,"Denver, CO","San Antonio, TX",794,798.5869565,174.1348169,WN,0.573159113,164.659582,F9,0.11528515,99.20082645,-1,,
2018,4,"30,325",33244,"Denver, CO","Memphis, TN",872,339.8913043,185.4245283,UA,0.371282379,236.1794143,F9,0.232491206,97.54222834,-1,,
2018,4,"30,325",33316,"Denver, CO","Omaha, NE",472,602.7173913,141.8708927,WN,0.470153291,142.1207518,WN,0.470153291,142.1207518,-1,,
2018,4,"30,325",33342,"Denver, CO","Milwaukee, WI",896,699.1304348,178.7213153,WN,0.592350746,184.5875066,F9,0.163401741,94.71874405,-1,,
2018,4,"30,325",33485,"Denver, CO","Madison, WI",826,293.1521739,197.4847608,UA,0.585094549,244.9987959,F9,0.362625139,104.94182,-1,,
2018,4,"30,325",33495,"Denver, CO","New Orleans, LA",1062,902.0652174,187.6887577,WN,0.461742379,198.7470772,F9,0.207012893,105.0656577,-1,,
2018,4,"30,325",33570,"Denver, CO","San Diego, CA",853,"2,003.369565",159.6642016,WN,0.483316152,167.2222272,F9,0.195377353,89.40452652,-1,,
2018,4,"30,325",33667,"Denver, CO","Norfolk, VA (Metropolitan Area)",1553,245.2173913,227.1287234,UA,0.357712766,267.9011152,F9,0.215868794,115.8622177,-1,,
2018,4,"30,325",33851,"Denver, CO","Oklahoma City, OK",495,559.5652174,149.4397242,WN,0.606837607,138.8358515,WN,0.606837607,138.8358515,-1,,
2018,4,"30,325",34057,"Denver, CO","Portland, OR",991,"1,390.76087",174.2442282,WN,0.406721376,177.6031514,F9,0.141070731,97.86764543,-1,,
2018,4,"30,325",34100,"Denver, CO","Philadelphia, PA",1558,"1,506.304348",207.6091067,AA,0.300043296,212.0282588,F9,0.138043008,102.914114,-1,,
2018,4,"30,325",34492,"Denver, CO","Raleigh/Durham, NC",1436,840.7608696,201.1898255,WN,0.390820944,210.6160106,F9,0.219004525,102.977804,-1,,
2018,4,"30,325",34524,"Denver, CO","Richmond, VA",1482,221.3043478,289.1043222,UA,0.589390963,321.4363333,AA,0.240176817,234.5924335,-1,,
2018,4,"30,325",34570,"Denver, CO","Reno, NV",804,340.1086957,180.9701822,WN,0.516458933,170.9464728,WN,0.516458933,170.9464728,-1,,
2018,4,"30,325",34614,"Denver, CO","Salt Lake City, UT",391,"1,399.23913",142.4675989,DL,0.398741552,147.9659264,WN,0.318651441,147.5557289,-1,,
